plant_id,N,C,cn_percent,n_molar,c_molar,cn_molar,plant_size_1,plant_size_2,plant_area,leaf1_length,leaf1_width,leaf2_length,leaf2_width,leaf3_length,leaf3_width,leaf1_area,leaf2_area,leaf3_area,total_leaf_area,leaves_sampled,average_leaf_size,season,quality_PC1,quality_PC2
e110,3.295,45.03,13.666160849772384,2352.4456153126716,37490.633585879616,15.93687579506343,18,12,216,60,32,51,25,50,26,1920,1275,1300,4495,3,1498.3333333333333,autumn,-1.6680934821177236,-0.730153702461253
e111,3.473,46.45,13.374604088684135,2479.5276546224304,38672.8831904088,15.59687512188595,25,18,450,71,47,68,33,52,28,3337,2244,1456,7037,3,2345.6666666666665,autumn,-4.23486173179931,-0.6806361635237974
e119,2.481,34.82,14.03466344216042,1771.2951658848979,28990.09241528599,16.366607312905536,28,24,672,87,43,52,27,51,31,3741,1404,1581,6726,3,2242,autumn,-5.321934346196212,0.7144085087178813
e120,3.128,46.91,14.996803069053707,2233.2169604546393,39055.865456664724,17.488612234394687,13,12,156,44,30,40,25,29,20,1320,1000,580,2900,3,966.6666666666666,autumn,-0.5429368055228019,-0.27583953576864984
e123,3.034,41.56,13.698088332234676,2166.1062205944295,34601.615186079434,15.974108221056655,19,10,190,72,30,77,27,75,27,2160,2079,2025,6264,3,2088,autumn,-2.398632648371061,-1.7513912896722619
e127,3.303,44.82,13.569482288828338,2358.1571676412,37315.793855632335,15.824133508861202,23,15,345,80,42,55,28,35,20,3360,1540,700,5600,3,1866.6666666666667,autumn,-2.9363699582667024,-0.5561187823202469
e128,3.233,42.13,13.031240334055058,2308.1810847665756,35076.18016817917,15.196459411123886,38,23,874,57,28,58,28,60,29,1596,1624,1740,4960,3,1653.3333333333333,autumn,-5.576782923576994,2.718063048008237
e133,2.412,44.76,18.557213930348258,1722.0330270513396,37265.839646990265,21.640606806944387,10,5.5,55,48,19,60,22,49,23,912,1320,1127,3359,3,1119.6666666666667,autumn,-0.20557658029513443,-1.067730868876552
e137,3.37,39.9,11.839762611275964,2405.991418392626,33219.54874698193,13.807010487666226,18,16,288,55,34,45,27,50,31,1870,1215,1550,4635,3,1545,autumn,-2.13991745767048,-0.3969666661312269
e138,4.011,46,11.468461730241835,2863.6295487159714,38298.226625593205,13.374015728663585,15,13,195,53,25,59,28,52,29,1325,1652,1508,4485,3,1495,autumn,-1.5457447236268633,-0.8425998224362043
e139,3.093,38.14,12.331070158422245,2208.228919017327,31754.22529348098,14.379951743233113,21,21,441,48,25,77,43,52,28,1200,3311,1456,5967,3,1989,autumn,-3.6547573829554914,-0.20115819116532685
e147,3.417,45.47,13.306994439566871,2439.546788322731,37856.96444925485,15.518031722311322,35,8,280,70,29,70,33,71,31,2030,2310,2201,6541,3,2180.3333333333335,autumn,-3.038916074243143,-1.3854109506908663
e153,1.703,44.46,26.106870229007633,1215.846701935502,37016.06860377987,30.444683976075375,8,5,40,39,25,40,23,30,24,975,920,720,2615,3,871.6666666666666,autumn,0.2466568862344795,-0.7832080298225177
e166,1.454,45.47,31.27235213204952,1038.074635710053,37856.96444925485,36.468441812336856,12,5,60,25,12,23,15,30,13,300,345,390,1035,3,345,autumn,0.9171582440075904,0.11090749791803256
e168,2.139,45.32,21.187470780738664,1527.126303840305,37732.07892764965,24.707896676760654,15,8,120,46,20,41,15,37,17,920,615,629,2164,3,721.3333333333334,autumn,0.022733044833353935,-0.11267519135388525
e171,2.926,43.1,14.730006835269993,2089.000264159295,35883.773207892766,17.17748619928201,5,3,15,20,16,14,13,17,12,320,182,204,706,3,235.33333333333334,autumn,1.331622588807667,0.022239960291370098
e173,1.643,45.42,27.644552647595862,1173.0100594715386,37815.33594205312,32.23786159096503,18,21,378,42,28,38,27,48,38,1176,1026,1824,4026,3,1342,autumn,-2.341513997287782,0.40770055910494873
